INSERT INTO possui (codigoEMecIES, codigoEMecCurso, quantidade) VALUES
(4, 1150, 99),
(4, 1112, 99),
(4, 1290, 99),
(4, 1244, 99),
(4, 1205, 99),
(4, 1220, 99),
(4, 1050, 99),
(4, 1062, 99),
(4, 1034, 99),
(4, 1120, 99),
(4, 1246, 99),
(4, 1123, 99),
(4, 1184, 99),
(4, 1164, 99),
(4, 1331, 99),
(4, 1093, 99),
(4, 1172, 99),
(4, 1109, 99),
(4, 1241, 99),
(4, 1280, 99),
(4, 1242, 99),
(4, 1349, 99),
(4, 1159, 99),
(4, 1055, 99),
(4, 1281, 99),
(4, 1240, 99),
(4, 1225, 99),
(4, 1006, 99),
(4, 1038, 99),
(4, 1312, 99),
(4, 1234, 99),
(4, 1024, 99),
(4, 1227, 99),
(5, 1359, 326),
(5, 1287, 326),
(5, 1236, 326),
(5, 1027, 326),
(5, 1373, 326),
(5, 1380, 326),
(5, 1371, 326),
(5, 1065, 326),
(5, 1017, 326),
(5, 1205, 326),
(5, 1072, 326),
(5, 1262, 326),
(5, 1357, 326),
(5, 1347, 326),
(5, 1106, 326),
(5, 1302, 326),
(5, 1261, 326),
(5, 1050, 326),
(5, 1241, 326),
(5, 1383, 326),
(5, 1019, 326),
(5, 1001, 326),
(5, 1305, 326),
(5, 1285, 326),
(5, 1354, 326),
(5, 1203, 326),
(5, 1315, 326),
(5, 1291, 326),
(5, 1029, 326),
(5, 1079, 326),
(5, 1367, 326),
(5, 1204, 326),
(5, 1238, 326),
(5, 1283, 326),
(5, 1298, 326),
(5, 1009, 326),
(5, 1105, 326),
(5, 1167, 326),
(5, 1047, 326),
(5, 1076, 326),
(5, 1348, 326),
(5, 1043, 326),
(5, 1141, 326),
(5, 1040, 326),
(5, 1251, 326),
(5, 1038, 326),
(5, 1173, 326),
(5, 1081, 326),
(5, 1191, 326),
(5, 1041, 326),
(5, 1363, 326),
(5, 1349, 326),
(5, 1233, 326),
(5, 1170, 326),
(5, 1016, 326),
(5, 1294, 326),
(5, 1021, 326),
(5, 1282, 326),
(5, 1142, 326),
(5, 1318, 326),
(5, 1281, 326),
(5, 1138, 326),
(5, 1175, 326),
(5, 1110, 326),
(5, 1042, 326),
(5, 1077, 326),
(5, 1284, 326),
(5, 1114, 326),
(5, 1139, 326),
(5, 1058, 326),
(5, 1094, 326),
(5, 1280, 326),
(5, 1174, 326),
(5, 1194, 326),
(5, 1084, 326),
(5, 1297, 326),
(5, 1137, 326),
(5, 1244, 326),
(5, 1274, 326),
(5, 1032, 326),
(5, 1211, 326),
(5, 1259, 326),
(5, 1068, 326),
(5, 1231, 326),
(5, 1005, 326),
(5, 1214, 326),
(5, 1249, 326),
(5, 1374, 326),
(5, 1341, 326),
(5, 1218, 326),
(5, 1264, 326),
(5, 1272, 326),
(5, 1190, 326),
(5, 1276, 326),
(5, 1219, 326),
(5, 1157, 326),
(5, 1311, 326),
(5, 1336, 326),
(5, 1378, 326),
(5, 1045, 326),
(5, 1126, 326),
(5, 1206, 326),
(5, 1290, 326),
(5, 1178, 326),
(5, 1271, 326),
(5, 1338, 326),
(5, 1332, 326),
(5, 1015, 326),
(5, 1160, 326),
(5, 1145, 326),
(5, 1060, 326),
(5, 1320, 326),
(5, 1366, 326),
(5, 1073, 326),
(5, 1013, 326),
(5, 1113, 326),
(5, 1306, 326),
(5, 1100, 326),
(5, 1093, 326),
(5, 1217, 326),
(5, 1125, 326),
(5, 1120, 326),
(5, 1234, 326),
(5, 1162, 326),
(5, 1166, 326),
(5, 1344, 326),
(5, 1154, 326),
(5, 1030, 326),
(5, 1319, 326),
(5, 1310, 326),
(5, 1329, 326),
(5, 1134, 326),
(5, 1179, 326),
(5, 1119, 326),
(5, 1131, 326),
(5, 1270, 326),
(5, 1147, 326),
(5, 1031, 326),
(5, 1223, 326),
(5, 1168, 326),
(5, 1026, 326),
(5, 1335, 326),
(5, 1188, 326),
(5, 1342, 326),
(5, 1086, 326),
(5, 1246, 326),
(5, 1099, 326),
(5, 1075, 326),
(5, 1314, 326),
(5, 1074, 326),
(5, 1326, 326),
(5, 1210, 326),
(5, 1087, 326),
(5, 1250, 326),
(5, 1109, 326),
(5, 1123, 326),
(5, 1186, 326),
(5, 1247, 326),
(5, 1054, 326),
(5, 1260, 326),
(5, 1165, 326),
(5, 1317, 326),
(5, 1049, 326),
(5, 1082, 326),
(5, 1381, 326),
(5, 1097, 326),
(5, 1202, 326),
(5, 1066, 326),
(5, 1052, 326),
(5, 1322, 326),
(5, 1014, 326),
(5, 1136, 326),
(5, 1313, 326),
(5, 1215, 326),
(5, 1028, 326),
(5, 1151, 326),
(5, 1007, 326),
(5, 1351, 326),
(5, 1091, 326),
(5, 1303, 326),
(5, 1222, 326),
(5, 1273, 326),
(5, 1269, 326),
(5, 1375, 326),
(5, 1198, 326),
(5, 1177, 326),
(5, 1300, 326),
(5, 1044, 326),
(5, 1358, 326),
(5, 1352, 326),
(5, 1172, 326),
(5, 1207, 326),
(5, 1266, 326),
(5, 1331, 326),
(5, 1192, 326),
(5, 1308, 326),
(5, 1376, 326),
(5, 1152, 326),
(5, 1003, 326),
(5, 1059, 326),
(5, 1252, 326),
(5, 1286, 326),
(5, 1268, 326),
(5, 1237, 326),
(5, 1255, 326),
(5, 1240, 326),
(5, 1011, 326),
(5, 1256, 326),
(5, 1353, 326),
(5, 1018, 326),
(5, 1176, 326),
(5, 1242, 326),
(5, 1104, 326),
(5, 1164, 326),
(5, 1221, 326),
(5, 1189, 326),
(5, 1128, 326),
(5, 1116, 326),
(5, 1201, 326),
(5, 1304, 326),
(5, 1333, 326),
(5, 1122, 326),
(5, 1293, 326),
(5, 1039, 326),
(5, 1158, 326),
(5, 1339, 326),
(5, 1377, 326),
(5, 1055, 326),
(5, 1200, 326),
(5, 1355, 326),
(5, 1245, 326),
(5, 1004, 326),
(5, 1346, 326),
(5, 1107, 326),
(5, 1254, 326),
(5, 1155, 326),
(5, 1213, 326),
(5, 1080, 326),
(5, 1265, 326),
(5, 1133, 326),
(5, 1117, 326),
(5, 1046, 326),
(5, 1002, 326),
(5, 1146, 326),
(5, 1127, 326),
(5, 1108, 326),
(5, 1064, 326),
(5, 1096, 326),
(5, 1312, 326),
(5, 1187, 326),
(5, 1309, 326),
(5, 1343, 326),
(5, 1129, 326),
(5, 1225, 326),
(5, 1379, 326),
(5, 1307, 326),
(5, 1369, 326),
(5, 1184, 326),
(5, 1078, 326),
(5, 1330, 326),
(5, 1232, 326),
(5, 1070, 326),
(5, 1121, 326),
(5, 1118, 326),
(5, 1034, 326),
(5, 1115, 326),
(5, 1278, 326),
(5, 1181, 326),
(5, 1092, 326),
(5, 1022, 326),
(5, 1248, 326),
(5, 1140, 326),
(5, 1337, 326),
(5, 1301, 326),
(5, 1012, 326),
(5, 1370, 326),
(5, 1010, 326),
(5, 1180, 326),
(5, 1048, 326),
(5, 1053, 326),
(5, 1208, 326),
(5, 1195, 326),
(5, 1159, 326),
(5, 1345, 326),
(5, 1267, 326),
(5, 1148, 326),
(5, 1008, 326),
(5, 1321, 326),
(5, 1071, 326),
(5, 1149, 326),
(5, 1056, 326),
(5, 1328, 326),
(5, 1089, 326),
(5, 1135, 326),
(5, 1196, 326),
(5, 1088, 326),
(5, 1350, 326),
(5, 1095, 326),
(5, 1051, 326),
(5, 1220, 326),
(5, 1061, 326),
(5, 1295, 326),
(5, 1296, 326),
(5, 1227, 326),
(5, 1132, 326),
(5, 1361, 326),
(5, 1243, 326),
(5, 1229, 326),
(5, 1020, 326),
(5, 1130, 326),
(5, 1327, 326),
(5, 1143, 326),
(5, 1111, 326),
(5, 1299, 326),
(5, 1183, 326),
(5, 1006, 326),
(5, 1182, 326),
(5, 1292, 326),
(5, 1230, 326),
(5, 1239, 326),
(5, 1171, 326),
(5, 1364, 326),
(5, 1199, 326),
(5, 1212, 326),
(5, 1356, 326),
(5, 1101, 326),
(6, 1123, 382),
(6, 1262, 382),
(6, 1056, 382),
(6, 1072, 382),
(6, 1174, 382),
(6, 1260, 382),
(6, 1074, 382),
(6, 1379, 382),
(6, 1374, 382),
(6, 1179, 382),
(6, 1275, 382),
(6, 1353, 382),
(6, 1037, 382),
(6, 1004, 382),
(6, 1122, 382),
(6, 1014, 382),
(6, 1354, 382),
(6, 1141, 382),
(6, 1165, 382),
(6, 1035, 382),
(6, 1001, 382),
(6, 1357, 382),
(6, 1198, 382),
(6, 1380, 382),
(6, 1040, 382),
(6, 1194, 382),
(6, 1173, 382),
(6, 1382, 382),
(6, 1166, 382),
(6, 1345, 382),
(6, 1376, 382),
(6, 1308, 382),
(6, 1272, 382),
(6, 1375, 382),
(6, 1323, 382),
(6, 1144, 382),
(6, 1101, 382),
(6, 1134, 382),
(6, 1066, 382),
(6, 1225, 382),
(6, 1158, 382),
(6, 1253, 382),
(6, 1119, 382),
(6, 1054, 382),
(6, 1157, 382),
(6, 1176, 382),
(6, 1145, 382),
(6, 1313, 382),
(6, 1082, 382),
(6, 1231, 382),
(6, 1295, 382),
(6, 1063, 382),
(6, 1011, 382),
(6, 1287, 382),
(6, 1005, 382),
(6, 1150, 382),
(6, 1263, 382),
(6, 1278, 382),
(6, 1172, 382),
(6, 1248, 382),
(6, 1094, 382),
(6, 1152, 382),
(6, 1079, 382),
(6, 1093, 382),
(6, 1203, 382),
(6, 1344, 382),
(6, 1050, 382),
(6, 1178, 382),
(6, 1239, 382),
(6, 1131, 382),
(6, 1049, 382),
(6, 1245, 382),
(6, 1196, 382),
(6, 1383, 382),
(6, 1269, 382),
(6, 1197, 382),
(6, 1257, 382),
(6, 1140, 382),
(6, 1186, 382),
(6, 1171, 382),
(6, 1304, 382),
(6, 1368, 382),
(6, 1210, 382),
(6, 1302, 382),
(6, 1224, 382),
(6, 1039, 382),
(6, 1121, 382),
(6, 1027, 382),
(6, 1235, 382),
(6, 1261, 382),
(6, 1265, 382),
(6, 1251, 382),
(6, 1081, 382),
(6, 1092, 382),
(6, 1369, 382),
(6, 1377, 382),
(6, 1381, 382),
(6, 1307, 382),
(6, 1202, 382),
(6, 1085, 382),
(6, 1232, 382),
(6, 1169, 382),
(6, 1331, 382),
(6, 1229, 382),
(6, 1042, 382),
(6, 1258, 382),
(6, 1088, 382),
(6, 1367, 382),
(6, 1017, 382),
(6, 1294, 382),
(6, 1360, 382),
(6, 1372, 382),
(6, 1164, 382),
(6, 1185, 382),
(6, 1289, 382),
(6, 1132, 382),
(6, 1032, 382),
(6, 1113, 382),
(6, 1099, 382),
(6, 1219, 382),
(6, 1103, 382),
(6, 1207, 382),
(6, 1315, 382),
(6, 1330, 382),
(6, 1303, 382),
(6, 1076, 382),
(6, 1336, 382),
(6, 1234, 382),
(6, 1298, 382),
(6, 1365, 382),
(6, 1215, 382),
(6, 1155, 382),
(6, 1350, 382),
(6, 1371, 382),
(6, 1073, 382),
(6, 1329, 382),
(6, 1255, 382),
(6, 1010, 382),
(6, 1110, 382),
(6, 1322, 382),
(6, 1161, 382),
(6, 1025, 382),
(6, 1340, 382),
(6, 1069, 382),
(6, 1125, 382),
(6, 1266, 382),
(6, 1297, 382),
(6, 1193, 382),
(6, 1175, 382),
(6, 1311, 382),
(6, 1321, 382),
(6, 1351, 382),
(6, 1342, 382),
(6, 1091, 382),
(6, 1065, 382),
(6, 1359, 382),
(6, 1337, 382),
(6, 1180, 382),
(6, 1316, 382),
(6, 1332, 382),
(6, 1370, 382),
(6, 1147, 382),
(6, 1087, 382),
(6, 1108, 382),
(6, 1184, 382),
(6, 1067, 382),
(6, 1320, 382),
(6, 1102, 382),
(6, 1233, 382),
(6, 1080, 382),
(6, 1267, 382),
(6, 1341, 382),
(6, 1060, 382),
(6, 1242, 382),
(6, 1104, 382),
(6, 1028, 382),
(6, 1183, 382),
(6, 1117, 382),
(6, 1299, 382),
(6, 1288, 382),
(6, 1312, 382),
(6, 1127, 382),
(6, 1230, 382),
(6, 1276, 382),
(6, 1006, 382),
(6, 1270, 382),
(6, 1111, 382),
(6, 1200, 382),
(6, 1221, 382),
(6, 1167, 382),
(6, 1163, 382),
(6, 1192, 382),
(6, 1279, 382),
(6, 1075, 382),
(6, 1029, 382),
(6, 1237, 382),
(6, 1292, 382),
(6, 1271, 382),
(6, 1015, 382),
(6, 1280, 382),
(6, 1052, 382),
(6, 1274, 382),
(6, 1366, 382),
(6, 1160, 382),
(6, 1290, 382),
(6, 1358, 382),
(6, 1201, 382),
(6, 1114, 382),
(6, 1283, 382),
(6, 1115, 382),
(6, 1097, 382),
(6, 1188, 382),
(6, 1055, 382),
(6, 1139, 382),
(6, 1138, 382),
(6, 1228, 382),
(6, 1349, 382),
(6, 1222, 382),
(6, 1170, 382),
(6, 1162, 382),
(6, 1223, 382),
(6, 1031, 382),
(6, 1346, 382),
(6, 1310, 382),
(6, 1339, 382),
(6, 1126, 382),
(6, 1083, 382),
(6, 1000, 382),
(6, 1156, 382),
(6, 1238, 382),
(6, 1116, 382),
(6, 1105, 382),
(6, 1254, 382),
(6, 1246, 382),
(6, 1326, 382),
(6, 1296, 382),
(6, 1190, 382),
(6, 1314, 382),
(6, 1317, 382),
(6, 1187, 382),
(6, 1143, 382),
(6, 1216, 382),
(6, 1007, 382),
(6, 1019, 382),
(6, 1047, 382),
(6, 1209, 382),
(6, 1306, 382),
(6, 1120, 382),
(6, 1048, 382),
(6, 1208, 382),
(6, 1285, 382),
(6, 1043, 382),
(6, 1151, 382),
(6, 1064, 382),
(6, 1347, 382),
(6, 1373, 382),
(6, 1109, 382),
(6, 1026, 382),
(6, 1212, 382),
(6, 1281, 382),
(6, 1189, 382),
(6, 1214, 382),
(6, 1008, 382),
(6, 1199, 382),
(6, 1363, 382),
(6, 1301, 382),
(6, 1148, 382),
(6, 1136, 382),
(6, 1327, 382),
(6, 1364, 382),
(6, 1078, 382),
(6, 1059, 382),
(6, 1256, 382),
(6, 1034, 382),
(6, 1089, 382),
(6, 1309, 382),
(6, 1182, 382),
(6, 1128, 382),
(6, 1096, 382),
(6, 1252, 382),
(6, 1095, 382),
(6, 1277, 382),
(6, 1356, 382),
(6, 1106, 382),
(6, 1249, 382),
(6, 1333, 382),
(6, 1124, 382),
(6, 1012, 382),
(6, 1168, 382),
(6, 1146, 382),
(6, 1204, 382),
(6, 1044, 382),
(6, 1118, 382),
(6, 1220, 382),
(6, 1247, 382),
(6, 1023, 382),
(6, 1086, 382),
(6, 1244, 382),
(6, 1071, 382),
(6, 1227, 382),
(6, 1112, 382),
(6, 1273, 382),
(6, 1211, 382),
(6, 1324, 382),
(6, 1259, 382),
(6, 1226, 382),
(6, 1036, 382),
(6, 1348, 382),
(6, 1284, 382),
(6, 1009, 382),
(6, 1053, 382),
(6, 1058, 382),
(6, 1378, 382),
(6, 1205, 382),
(6, 1051, 382),
(6, 1133, 382),
(6, 1084, 382),
(6, 1241, 382),
(6, 1153, 382),
(6, 1038, 382),
(6, 1325, 382),
(6, 1319, 382),
(6, 1130, 382),
(6, 1046, 382),
(6, 1135, 382),
(6, 1062, 382),
(6, 1328, 382),
(6, 1286, 382),
(6, 1177, 382),
(6, 1077, 382),
(6, 1250, 382),
(6, 1334, 382),
(6, 1217, 382),
(6, 1264, 382),
(6, 1129, 382),
(6, 1018, 382),
(6, 1282, 382),
(6, 1355, 382),
(6, 1149, 382),
(6, 1137, 382),
(6, 1159, 382),
(6, 1240, 382),
(6, 1293, 382),
(6, 1061, 382),
(6, 1022, 382),
(6, 1236, 382),
(6, 1024, 382),
(6, 1013, 382),
(6, 1300, 382),
(6, 1021, 382),
(6, 1218, 382),
(6, 1003, 382),
(6, 1068, 382),
(6, 1343, 382),
(6, 1100, 382),
(6, 1213, 382),
(6, 1002, 382),
(6, 1142, 382),
(6, 1016, 382),
(6, 1041, 382),
(6, 1098, 382),
(6, 1045, 382),
(6, 1020, 382),
(6, 1090, 382),
(6, 1030, 382),
(6, 1057, 382),
(6, 1268, 382),
(6, 1107, 382),
(6, 1361, 382),
(6, 1318, 382),
(6, 1070, 382),
(6, 1181, 382),
(6, 1335, 382),
(6, 1291, 382),
(6, 1191, 382),
(6, 1352, 382),
(6, 1195, 382),
(6, 1243, 382),
(6, 1033, 382),
(6, 1305, 382),
(6, 1206, 382),
(6, 1338, 382),
(7, 1262, 219),
(7, 1331, 219),
(7, 1047, 219),
(7, 1118, 219),
(7, 1164, 219),
(7, 1309, 219),
(7, 1051, 219),
(7, 1216, 219),
(7, 1306, 219),
(7, 1068, 219),
(7, 1361, 219),
(7, 1112, 219),
(7, 1282, 219),
(7, 1120, 219),
(7, 1350, 219),
(7, 1073, 219),
(7, 1187, 219),
(7, 1103, 219),
(7, 1369, 219),
(7, 1214, 219),
(7, 1043, 219),
(7, 1317, 219),
(7, 1094, 219),
(7, 1130, 219),
(7, 1063, 219),
(7, 1324, 219),
(7, 1078, 219),
(7, 1190, 219),
(7, 1267, 219),
(7, 1318, 219),
(7, 1274, 219),
(7, 1265, 219),
(7, 1148, 219),
(7, 1295, 219),
(7, 1378, 219),
(7, 1276, 219),
(7, 1177, 219),
(7, 1326, 219),
(7, 1215, 219),
(7, 1142, 219),
(7, 1159, 219),
(7, 1281, 219),
(7, 1134, 219),
(7, 1163, 219),
(7, 1089, 219),
(7, 1211, 219),
(7, 1349, 219),
(7, 1029, 219),
(7, 1033, 219),
(7, 1006, 219),
(7, 1328, 219),
(7, 1096, 219),
(7, 1237, 219),
(7, 1259, 219),
(7, 1145, 219),
(7, 1291, 219),
(7, 1025, 219),
(7, 1018, 219),
(7, 1128, 219),
(7, 1014, 219),
(7, 1260, 219),
(7, 1301, 219),
(7, 1289, 219),
(7, 1375, 219),
(7, 1251, 219),
(7, 1049, 219),
(7, 1174, 219),
(7, 1090, 219),
(7, 1123, 219),
(7, 1374, 219),
(7, 1180, 219),
(7, 1077, 219),
(7, 1335, 219),
(7, 1170, 219),
(7, 1035, 219),
(7, 1175, 219),
(7, 1272, 219),
(7, 1092, 219),
(7, 1131, 219),
(7, 1160, 219),
(7, 1273, 219),
(7, 1027, 219),
(7, 1270, 219),
(7, 1001, 219),
(7, 1288, 219),
(7, 1101, 219),
(7, 1179, 219),
(7, 1228, 219),
(7, 1313, 219),
(7, 1154, 219),
(7, 1198, 219),
(7, 1055, 219),
(7, 1057, 219),
(7, 1166, 219),
(7, 1376, 219),
(7, 1206, 219),
(7, 1296, 219),
(7, 1312, 219),
(7, 1298, 219),
(7, 1292, 219),
(7, 1117, 219),
(7, 1064, 219),
(7, 1037, 219),
(7, 1241, 219),
(7, 1125, 219),
(7, 1081, 219),
(7, 1286, 219),
(7, 1264, 219),
(7, 1119, 219),
(7, 1143, 219),
(7, 1191, 219),
(7, 1039, 219),
(7, 1311, 219),
(7, 1165, 219),
(7, 1352, 219),
(7, 1256, 219),
(7, 1007, 219),
(7, 1209, 219),
(7, 1380, 219),
(7, 1226, 219),
(7, 1139, 219),
(7, 1147, 219),
(7, 1110, 219),
(7, 1100, 219),
(7, 1138, 219),
(7, 1091, 219),
(7, 1280, 219),
(7, 1072, 219),
(7, 1093, 219),
(7, 1365, 219),
(7, 1224, 219),
(7, 1299, 219),
(7, 1203, 219),
(7, 1113, 219),
(7, 1330, 219),
(7, 1319, 219),
(7, 1059, 219),
(7, 1135, 219),
(7, 1097, 219),
(7, 1305, 219),
(7, 1310, 219),
(7, 1186, 219),
(7, 1382, 219),
(7, 1171, 219),
(7, 1220, 219),
(7, 1023, 219),
(7, 1283, 219),
(7, 1314, 219),
(7, 1083, 219),
(7, 1340, 219),
(7, 1062, 219),
(7, 1229, 219),
(7, 1240, 219),
(7, 1225, 219),
(7, 1362, 219),
(7, 1032, 219),
(7, 1158, 219),
(7, 1024, 219),
(7, 1009, 219),
(7, 1017, 219),
(7, 1152, 219),
(7, 1351, 219),
(7, 1248, 219),
(7, 1150, 219),
(7, 1235, 219),
(7, 1338, 219),
(7, 1050, 219),
(7, 1181, 219),
(7, 1136, 219),
(7, 1321, 219),
(7, 1342, 219),
(7, 1182, 219),
(7, 1271, 219),
(7, 1246, 219),
(7, 1095, 219),
(7, 1126, 219),
(7, 1367, 219),
(7, 1155, 219),
(7, 1258, 219),
(7, 1337, 219),
(7, 1066, 219),
(7, 1151, 219),
(7, 1124, 219),
(7, 1363, 219),
(7, 1232, 219),
(7, 1325, 219),
(7, 1193, 219),
(7, 1371, 219),
(7, 1056, 219),
(7, 1207, 219),
(7, 1011, 219),
(7, 1279, 219),
(7, 1146, 219),
(7, 1192, 219),
(7, 1015, 219),
(7, 1353, 219),
(7, 1252, 219),
(7, 1329, 219),
(7, 1236, 219),
(7, 1293, 219),
(7, 1183, 219),
(7, 1253, 219),
(7, 1162, 219),
(7, 1016, 219),
(7, 1028, 219),
(7, 1364, 219),
(7, 1323, 219),
(7, 1054, 219),
(7, 1347, 219),
(7, 1003, 219),
(7, 1245, 219),
(7, 1149, 219),
(7, 1019, 219),
(7, 1021, 219),
(7, 1379, 219),
(7, 1104, 219),
(7, 1004, 219),
(7, 1061, 219),
(7, 1257, 219),
(8, 1069, 6),
(8, 1058, 6),
(8, 1168, 6),
(8, 1247, 6),
(8, 1193, 6),
(8, 1296, 6),
(9, 1178, 114),
(9, 1119, 114),
(9, 1099, 114),
(9, 1060, 114),
(9, 1004, 114),
(9, 1211, 114),
(9, 1174, 114),
(9, 1359, 114),
(9, 1164, 114),
(9, 1161, 114),
(9, 1151, 114),
(9, 1132, 114),
(9, 1221, 114),
(9, 1186, 114),
(9, 1029, 114),
(9, 1358, 114),
(9, 1356, 114),
(9, 1337, 114),
(9, 1088, 114),
(9, 1205, 114),
(9, 1058, 114),
(9, 1237, 114),
(9, 1270, 114),
(9, 1305, 114),
(9, 1370, 114),
(9, 1052, 114),
(9, 1202, 114),
(9, 1301, 114),
(9, 1129, 114),
(9, 1095, 114),
(9, 1090, 114),
(9, 1169, 114),
(9, 1382, 114),
(9, 1026, 114),
(9, 1269, 114),
(9, 1320, 114),
(9, 1048, 114),
(9, 1107, 114),
(9, 1207, 114),
(9, 1157, 114),
(9, 1018, 114),
(9, 1236, 114),
(9, 1296, 114),
(9, 1275, 114),
(9, 1334, 114),
(9, 1105, 114),
(9, 1223, 114),
(9, 1330, 114),
(9, 1180, 114),
(9, 1316, 114),
(9, 1336, 114),
(9, 1369, 114),
(9, 1059, 114),
(9, 1065, 114),
(9, 1348, 114),
(9, 1149, 114),
(9, 1199, 114),
(9, 1354, 114),
(9, 1350, 114),
(9, 1138, 114),
(9, 1231, 114),
(9, 1366, 114),
(9, 1197, 114),
(9, 1047, 114),
