INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (42, 10709, 3720, 12, 6136, 4.8, 1.2, 2.25, 'Estadual', 'Universidade de São Paulo', 'Universidade', 31.29, 3.89, 18.0, 3.96, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (146, 15186, 3847, 4, 26576, 3.26, 1.32, 3.31, 'Federal', 'Universidade Federal de Goiás', 'Escola de Governo', 27.25, 3.02, 16.63, 2.89, 'GO');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (162, 16076, 3022, 17, 13013, 4.43, 4.16, 3.69, 'Federal', 'Universidade Federal de Santa Maria', 'Escola de Governo', 28.99, 2.62, 12.15, 3.1, 'RS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (54, 12775, 3051, 12, 15989, 4.62, 4.07, 4.89, 'Estadual', 'Universidade Estadual de Maringá', 'Faculdade', 27.81, 2.58, 14.44, 2.83, 'PR');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (76, 13344, 3389, 12, 5206, 4.24, 1.01, 3.68, 'Federal', 'Universidade Federal do Espírito Santo', 'Institutos Federais', 25.61, 3.46, 15.53, 3.29, 'ES');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (165, 13225, 3138, 5, 15089, 3.12, 3.39, 3.01, 'Privada', 'Pontifícia Universidade Católica do Rio de Janeiro', 'Universidade', 25.21, 3.35, 15.53, 3.69, 'RJ');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (123, 17977, 3788, 10, 25402, 3.97, 4.02, 1.76, 'Estadual', 'Universidade Estadual de Londrina', 'Faculdade', 26.14, 2.79, 15.53, 2.83, 'PR');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (80, 14184, 3458, 12, 26334, 1.74, 2.22, 2.48, 'Federal', 'Universidade Federal de Juiz de Fora', 'Institutos Federais', 26.45, 2.84, 13.52, 3.26, 'MG');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (58, 16391, 3443, 18, 5636, 3.36, 3.04, 2.93, 'Federal', 'Universidade Federal de Lavras', 'Faculdade', 29.02, 3.38, 8.59, 2.97, 'MG');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (1, 15331, 3681, 20, 10912, 1.01, 4.9, 3.78, 'Federal', 'Universidade Federal do Pará', 'Institutos Federais', 24.95, 3.62, 15.81, 2.85, 'PA');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (2, 10366, 3355, 20, 12364, 2.07, 4.08, 2.13, 'Federal', 'Universidade Federal de Sergipe', 'Universidade', 24.56, 3.27, 14.44, 3.14, 'SE');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (132, 15027, 3864, 13, 25075, 2.82, 4.62, 1.48, 'Federal', 'Universidade Federal da Paraíba', 'Universidade', 27.09, 2.47, 14.44, 2.67, 'PB');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (96, 11556, 3961, 15, 19674, 3.81, 3.02, 3.19, 'Privada', 'Pontifícia Universidade Católica do Paraná', 'Escola de Governo', 24.41, 3.52, 16.9, 3.32, 'PR');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (62, 18992, 3883, 16, 12621, 2.2, 3.63, 3.75, 'Privada', 'Universidade do Vale do Rio dos Sinos', 'Centro Universitário', 23.05, 2.33, 16.08, 3.0, 'RS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (38, 13795, 3717, 8, 19641, 2.11, 1.11, 2.51, 'Federal', 'Universidade Federal do Piauí', 'Universidade', 25.23, 2.16, 14.44, 2.67, 'PI');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (41, 15489, 3131, 8, 24566, 1.1, 3.31, 2.31, 'Federal', 'Universidade Federal de Pelotas', 'Escola de Governo', 23.77, 2.86, 7.13, 3.28, 'RS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (52, 12889, 3545, 20, 11733, 1.01, 2.37, 1.87, 'Estadual', 'Universidade Estadual de Ponta Grossa', 'Universidade', 24.93, 2.48, 10.14, 3.08, 'PR');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (182, 14728, 3913, 5, 29060, 1.9, 2.64, 3.87, 'Federal', 'Universidade Federal de Mato Grosso', 'Faculdade', 25.13, 2.01, 14.44, 2.41, 'MT');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (70, 13808, 3941, 8, 9679, 3.71, 2.09, 1.63, 'Privada', 'Universidade Presbiteriana Mackenzie', 'Centro Universitário', 24.93, 2.24, 17.64, 2.93, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (173, 16279, 3140, 11, 12150, 2.51, 1.67, 2.99, 'Federal', 'Fundação Universidade Federal do ABC', 'Universidade', 27.43, 2.43, 2.01, 3.91, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (161, 19866, 3793, 9, 13568, 3.37, 2.22, 2.51, 'Federal', 'Universidade Federal de Mato Grosso do Sul', 'Escola de Governo', 21.97, 2.59, 13.52, 2.7, 'MS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (102, 13995, 3747, 17, 8771, 1.95, 1.15, 4.9, 'Federal', 'Universidade Federal de Ouro Preto', 'Faculdade', 26.69, 3.11, 5.39, 2.83, 'MG');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (97, 18274, 3041, 12, 17165, 3.35, 1.82, 1.76, 'Federal', 'Universidade Federal de Alagoas', 'Centro Universitário', 20.98, 2.4, 14.89, 2.74, 'AL');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (147, 19330, 3336, 5, 7621, 2.96, 2.55, 1.06, 'Federal', 'Universidade Tecnológica Federal do Paraná', 'Escola de Governo', 27.65, 2.94, 8.59, 2.43, 'PR');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (154, 16388, 3554, 8, 8151, 2.22, 4.1, 1.61, 'Estadual', 'Universidade Estadual do Norte Fluminense Darcy Ribeiro', 'Escola de Governo', 25.96, 2.96, 2.01, 3.05, 'RJ');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (40, 18518, 3536, 20, 15751, 4.63, 2.89, 1.68, 'Estadual', 'Fundação Universidade do Estado de Santa Catarina', 'Faculdade', 22.53, 2.47, 11.42, 2.17, 'SC');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (142, 11249, 3036, 10, 18168, 2.52, 1.19, 3.95, 'Federal', 'Universidade Federal Rural do Rio de Janeiro', 'Centro Universitário', 25.09, 2.52, 8.59, 2.2, 'RJ');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (158, 16214, 3396, 15, 10192, 3.5, 4.32, 2.93, 'Federal', 'Universidade Federal de Itajubá', 'Faculdade', 25.58, 3.07, 2.74, 3.18, 'MG');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (103, 17227, 3612, 18, 25166, 2.82, 3.91, 2.7, 'Privada', 'Universidade de Fortaleza', 'Centro Universitário', 20.24, 2.08, 15.81, 3.42, 'CE');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (166, 13075, 3063, 18, 8018, 2.05, 4.88, 2.47, 'Federal', 'Universidade Federal de Campina Grande', 'Centro Universitário', 23.97, 3.16, 10.14, 1.68, 'PB');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (153, 10992, 3819, 10, 24514, 3.13, 3.54, 3.66, 'Estadual', 'Universidade de Pernambuco', 'Universidade', 15.81, 2.14, 14.44, 3.56, 'PE');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (111, 18441, 3745, 11, 16038, 2.5, 4.1, 2.42, 'Privada', 'Universidade de Caxias do Sul', 'Universidade', 19.67, 3.43, 13.52, 2.33, 'RS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (3, 12191, 3092, 14, 8933, 4.3, 4.12, 1.64, 'Federal', 'Universidade Federal do Triângulo Mineiro', 'Faculdade', 26.83, 1.61, 4.02, 3.22, 'MG');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (25, 12426, 3789, 7, 5395, 1.56, 4.31, 4.16, 'Estadual', 'Universidade Estadual de Santa Cruz', 'Universidade', 21.17, 2.57, 10.14, 3.0, 'BA');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (184, 10941, 3888, 16, 28365, 1.78, 1.37, 4.34, 'Federal', 'Universidade Federal do Maranhão', 'Faculdade', 21.33, 2.05, 13.52, 1.99, 'MA');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (113, 12149, 3272, 19, 11938, 2.62, 2.17, 4.88, 'Federal', 'Universidade Federal do Amazonas', 'Escola de Governo', 20.27, 2.2, 13.52, 2.44, 'AM');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (201, 19815, 3292, 15, 21636, 3.2, 4.27, 3.92, 'Estadual', 'Universidade Estadual do Oeste do Paraná', 'Institutos Federais', 24.26, 2.64, 10.14, 1.46, 'PR');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (108, 16509, 3813, 8, 16689, 1.76, 1.6, 4.61, 'Federal', 'Universidade Federal de São João Del Rei', 'Escola de Governo', 21.98, 2.62, 5.39, 3.39, 'MG');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (159, 17280, 3936, 5, 12128, 4.79, 1.06, 2.87, 'Federal', 'Universidade Federal Rural de Pernambuco', 'Centro Universitário', 22.26, 2.71, 5.39, 2.33, 'PE');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (121, 13510, 3542, 17, 29036, 1.69, 4.31, 2.92, 'Estadual', 'Universidade Estadual do Ceará', 'Escola de Governo', 20.65, 1.84, 13.52, 2.13, 'CE');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (74, 16128, 3276, 19, 18283, 1.9, 2.66, 1.19, 'Estadual', 'Universidade Estadual de Feira de Santana', 'Faculdade', 23.49, 2.42, 8.59, 2.68, 'BA');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (183, 17917, 3707, 15, 16518, 1.1, 4.67, 1.82, 'Federal', 'Fundação Universidade Federal de Ciências da Saúde de Porto Alegre', 'Centro Universitário', 23.43, 1.49, 2.01, 2.79, 'RS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (55, 11062, 3426, 20, 21938, 4.5, 4.88, 1.7, 'Privada', 'Pontifícia Universidade Católica de Minas Gerais', 'Institutos Federais', 22.18, 2.91, 17.64, 1.56, 'MG');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (131, 10407, 3436, 6, 11735, 4.41, 1.91, 4.28, 'Federal', 'Universidade Federal do Rio Grande', 'Escola de Governo', 21.76, 1.81, 2.74, 2.94, 'RS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (179, 10715, 3978, 10, 17532, 3.7, 2.74, 1.54, 'Privada', 'Pontifícia Universidade Católica de São Paulo', 'Universidade', 26.68, 0.47, 17.27, 0.8, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (105, 17362, 3281, 4, 22052, 1.97, 4.28, 3.77, 'Privada', 'Pontifícia Universidade Católica de Campinas', 'Universidade', 21.83, 1.95, 16.08, 1.32, 'SP');
